,I-E,N-S,T-F,J-P
0,0,0,1,0
1,1,0,0,1
2,0,0,0,1
3,0,0,0,0
4,1,0,0,0
5,0,0,0,0
6,0,0,1,0
7,0,0,0,0
8,0,0,1,0
9,0,0,0,1
10,0,0,1,0
11,1,0,1,0
12,0,0,1,0
13,0,0,0,0
14,0,0,0,1
15,0,0,0,1
16,0,0,1,0
17,0,0,1,1
18,0,0,1,0
19,0,0,1,1
20,0,0,0,1
21,0,0,1,0
22,1,0,0,0
23,0,0,1,1
24,1,0,0,0
25,0,0,1,1
26,1,0,1,1
27,0,1,1,1
28,0,0,1,1
29,0,0,1,0
30,0,0,1,1
31,0,0,1,0
32,0,0,0,1
33,0,0,1,0
34,1,0,1,0
35,0,0,1,0
36,0,0,0,0
37,0,0,1,1
38,1,0,1,1
39,1,0,0,0
40,0,1,0,1
41,0,0,1,0
42,0,0,0,1
43,0,0,1,1
44,0,0,0,0
45,0,0,0,1
46,1,0,0,0
47,0,0,1,1
48,0,1,1,0
49,0,0,0,0
50,0,0,0,1
51,0,0,1,1
52,0,1,1,0
53,0,0,0,1
54,0,0,1,1
55,0,0,1,1
56,0,0,1,1
57,1,0,1,0
58,0,0,0,1
59,0,0,0,0
60,0,0,1,0
61,0,0,0,1
62,0,0,1,1
63,0,0,1,1
64,1,0,0,1
65,0,0,0,1
66,0,1,1,1
67,1,0,1,0
68,0,0,1,0
69,1,0,1,0
70,0,0,1,0
71,0,0,1,1
72,1,0,1,1
73,0,1,0,1
74,0,0,1,0
75,0,0,0,1
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,1,1
80,0,0,1,1
81,0,0,1,0
82,1,0,0,1
83,1,0,0,0
84,0,0,1,1
85,0,0,0,1
86,0,0,1,1
87,0,1,1,0
88,0,1,0,0
89,0,0,0,1
90,1,0,0,1
91,0,0,0,1
92,0,1,1,1
93,1,0,1,0
94,0,0,1,0
95,0,0,1,1
96,0,0,1,0
97,0,0,0,0
98,0,0,1,0
99,1,0,1,1
100,0,0,1,1
101,0,0,1,1
102,1,0,1,1
103,0,0,1,0
104,0,1,0,1
105,0,0,1,0
106,0,1,0,0
107,1,0,1,0
108,0,0,0,1
109,0,0,0,0
110,1,0,0,1
111,0,0,1,1
112,0,0,1,1
113,1,1,0,1
114,0,1,0,1
115,1,0,1,1
116,1,0,0,1
117,0,0,0,1
118,0,0,1,0
119,1,0,1,1
120,1,0,0,1
121,0,0,0,1
122,0,0,1,0
123,0,1,0,1
124,0,0,0,1
125,0,0,0,0
126,1,0,0,1
127,0,0,1,0
128,0,0,1,0
129,0,0,1,0
130,1,0,0,0
131,0,1,1,0
132,0,0,1,1
133,0,0,1,0
134,0,0,0,1
135,0,0,1,0
136,0,0,1,1
137,0,0,0,1
138,0,0,1,1
139,0,1,1,1
140,0,0,0,1
141,0,0,1,1
142,1,0,1,1
143,1,0,1,1
144,1,0,0,1
145,0,0,1,0
146,0,0,1,0
147,1,0,0,1
148,0,0,1,1
149,0,0,1,1
150,0,0,0,1
151,0,0,1,0
152,1,0,1,1
153,1,0,1,1
154,0,0,0,1
155,1,0,0,1
156,0,0,0,0
157,0,0,0,1
158,1,0,0,1
159,1,0,1,1
160,1,1,0,1
161,0,0,0,0
162,0,0,0,1
163,1,0,0,1
164,0,0,1,1
165,0,0,1,0
166,0,0,1,0
167,0,0,0,0
168,1,0,1,1
169,0,0,0,0
170,0,0,0,0
171,0,0,0,1
172,0,1,1,0
173,0,0,0,1
174,0,1,0,1
175,0,0,0,1
176,0,0,0,1
177,0,0,0,1
178,0,0,0,1
179,0,0,1,1
180,1,0,0,1
181,0,0,1,1
182,0,0,0,1
183,0,0,0,0
184,1,0,0,1
185,0,0,1,0
186,0,0,0,0
187,0,0,0,1
188,0,1,0,1
189,0,1,0,0
190,0,0,1,1
191,0,0,0,0
192,1,0,1,1
193,0,0,1,1
194,0,0,0,1
195,0,0,0,0
196,0,0,0,0
197,0,0,1,1
198,0,0,0,1
199,0,0,0,1
200,1,1,1,1
201,0,0,0,0
202,0,1,1,1
203,0,0,1,0
204,0,0,0,0
205,0,0,0,0
206,0,0,0,1
207,0,0,0,1
208,0,0,1,1
209,1,0,1,1
210,0,0,1,1
211,0,0,1,1
212,0,0,1,1
213,0,0,1,1
214,0,0,0,1
215,0,0,0,1
216,0,0,1,1
217,0,0,1,1
218,0,0,1,1
219,0,0,1,0
220,1,0,1,1
221,0,0,0,0
222,0,0,1,0
223,0,0,1,0
224,1,0,0,1
225,0,0,0,1
226,0,0,0,1
227,0,0,1,1
228,0,0,1,1
229,0,0,1,0
230,0,0,0,1
231,0,0,1,1
232,0,0,0,1
233,0,0,1,1
234,0,0,1,0
235,1,0,1,0
236,0,1,0,1
237,0,0,0,0
238,0,0,1,1
239,0,1,1,1
240,1,0,0,0
241,1,0,0,1
242,0,1,1,1
243,1,0,1,1
244,0,0,1,1
245,1,0,1,1
246,1,0,0,1
247,0,0,1,1
248,0,0,1,1
249,0,1,1,1
250,0,0,1,1
251,0,0,1,0
252,1,0,0,1
253,0,0,1,1
254,0,1,0,1
255,0,0,0,0
256,0,0,0,1
257,0,0,1,0
258,0,1,0,0
259,0,0,0,0
260,0,0,1,1
261,0,0,1,0
262,0,0,0,0
263,1,0,1,0
264,0,0,1,1
265,0,0,1,1
266,0,1,0,0
267,0,1,0,0
268,0,1,1,1
